French,Fon
Il sera plus intelligent que son père.,E ná bí hú tɔ́ tɔ̀n
Réjouis-toi et tressaille d'allégresse,Hun xomɛ bo nu ayi towe gba wɔ
Une lourde valise.,Gba kpikpɛn
J’irai acheter un poulet tacheté au marché pour l’offrir en sacrifice.,Un na yí xɔ̀ kokló kpɛnkún ɖokpó ɖ’axi mɛ̀ b’á dó sá vɔ̀ ná
"Aussitôt, elle s'en va voltiger autour de la lampe, s'y brûle et meurt dans la douleur.","Trolo mɛ ɔ e ɖido lilɛlilɛ ɖo zogbɛn gbe, e ji mɛ nyɔ bo se wuvɛ kaka bo ku"
Noé ne savait pas que le vin enivrait et le vin l’enivra.,Noé túwun ɖɔ̀ víwun nɔ mú mɛ ă b’ɛ́ mú ì
"Il n’a rien gagné, pas même un F : ","E ɖu nuti a, flan ɖokpo vɔvɔ."
s'informer,kàn bɔ̆
Nous avons de la chance.,Mi ɖo ta ɖagbe
Le sucre est dans la voiture.,Sukle ɔ ɖo hun mɛ
Elle a apporté des tomates très mûres au marché.,É hὲn timáti xɛtoxɛto ɖe lέ wá’xì
Il l’a maudit.,É dé nu i
Ce sont celles de ta mère.,Nɔ towe tɔn lɛ wɛ
Tu vas y aller à ma place.,A ná yi ɖò nyi ce tamɛ̀
J'ai faim.,Xove sin mi
en ce cas là,tὲn nέ ɔ́ mέ ɔ́
J’irai me plaindre à ton père.,Un na yí jɛ̀ hwɛ nú tɔ́ tówè
Tu peux m'emprunter mon journal si tu veux.,A hɛn ɔ a na hwe xojlawema ce nu a ba ɔ
La marchande me rend la monnaie,Nusatɔ ɔ ɖo cεnji na mi wε.
J’allais chez lui.,Un nɔ yi gɔ́n tɔn ɖáyi
Il est bien sec.,É xú céké céké
Repars.,Vɔ̆ yì
Ce n'est pas grand chose.,E su kpɛ ă
C'est à elle.,Etɔ́n wɛ̀
On les appelle chrétiens parce qu'ils font partie d'une famille.,"E nɔ ylɔ́ yĕ ɖɔ̀ ""Kristuxwedótɔ́"" ɖó yĕ ɖò hɛnnu ɖokpó ɔ́ mɛ̀"
Kóoyì !,Oh !
en hâte,jajà - kpódó wìyìyá kpán
raconter des boniments,bà nùɖé ɖɔ̀
Il se contredit.,Xó tɔ́n nɔ́ nyi ta fí ɖokpó ă
Il en reste.,E lɛ́ kpò
Il brise les mottes avec la houe,E gba kɔta kpodo alin kpo
J'ai dû rester deux jours au lit à cause d'un mauvais rhume.,Un gbɔ ɔ nɔ zan ji nu azan we ɖo lɛnkpɔn ɖe wutu
Le chef de village est grand.,Daa ɔ mɔ lanmɛ
Toi et le voyage,Hwε kpodo tomε yiyi kpo
Elle est bien cuite.,Teví élɔ́ xwí sìn
Il en est fier (de la moto qu’il va acheter).,E jí ná
Qu'as-tu mangé ?,Nutε a ɖu ?
Il perd courage.,E ba akɔnkpikpan kpo
Cela me gêne beaucoup.,Nù nɛ́ ɔ́ dó tagba nú mí dín
Le lapin se cache dans le buisson.,Azwi ɖo hwihwla ɖo atinsomɛ
Il est seul.,E ɖò é ɖókpɔ́nɔ́
On pile les haricots.,E nɔ só ayikún
bien en haut,aga ɖéé
Marque le dégoût devant quelque chose de très sale.,Cí !
Il porte un habit de couleur verte.,É dó nŭ amamŭ
"A partir de l'âge nubile, l'homme et la femme, sans aucune restriction quant à la race, la nationalité ou la religion, ont le droit de se marier et de fonder une famille.","Enyi sunnu kpo nyɔnu kpo ɖó wyanwyanxwe ɔ, ye hɛn ɔ, ye na da yeɖee bo dè hɛnnu yetɔn. Akɔta yetɔn, to yetɔn, alo sinsɛn yetɔn ɖo na gbɛ nú ye ă"
La personne avec laquelle j’ai parlé.,Mɛ e un ɖɔ xo xa ɔ
Je l'ai regardé de près.,Un sɛ yì gɔ̀n tɔ́n bó kpɔ́n ɛ̀
"Excuse-moi, j'ai oublié ton prénom : ","Sɔ kε mi, un wɔn nyikɔ towe."
Il néglige son travail.,E nɔ́ dó vɛ̀ nú azɔ̆ tɔ̀n
"S'il en est ainsi, d'où est venu le premier oeuf ? : ",E nyi mɔ jεn wε fitε azin nukɔntɔn ɔ gosin ?.
Mets dans un pagne.,Sɔ́ dó avɔ mɛ̀
Il est entrain de palper le liwo.,É ɖò lìwó bɔɖɔ kpɔ́n wɛ̀
Ils souffraient souvent de maladies,Ye nɔ ya wu jε azɔn.
Comment veux-tu appeler ton enfant ?,Nɛ̆ a jlo na ylɔ́ vì tówé ɖɔ̀ ?
A quel point je le regrette !,Fí ɖĕ é vɛ́ nú mí yí ɖó ɔ́ !
Tu ne peux pas marcher ainsi et sortir.,A sìxú zɔ̀n mɔ̆ bó tɔ́n ă
"Désolée, je ne peux pas le faire","E vε nu mi, un sixu blo a"
Poche d’habit,"Bŏsù, bŭsù"
Ce nom se traduit par…,Nyikɔ nɛ ɔ sín tinmɛ wɛ nyí…
Par où passe-ton pour se rendre là-bas ?,Fitɛ́ e nɔ gbɔn yi ?
Ne t’occupe plus de cette affaire.,Đe ta sín xó élɔ́ mɛ̀
Dans notre rue,Ɖo ali mitɔn ji
Il a commencé là.,É bɛ́ sín fínɛ́
à gauche,àmyɔ̀ - ɖò amyɔ̀ xwé
Tu me plais.,A jlŏ mì
Penses-tu qu’il va revenir ? ,A ɖi ɖɔ e na lɛ kɔ wa ?
Tu bavardes trop.,A nɔ xwè nù ɖɔ́ dín
"Allez, raconte-moi.","Eya, ɖɔ nu mi"
Tant pis !,Ahóo !
Il est de bonne humeur.,Xomɛ tɔn hùn
C’est déjà eux qui ont fondé petit à petit notre pays.,Ye wɛ ko sɔ to mitɔn sɔ syan ayi kpɛɖe.
Il a beaucoup d'argent.,Akwɛ́ gegé ɖ'así tɔ̀n
Je vais descendre.,Un na jɛ tɛ ɖo fi
Au bord du fleuve.,Tɔ ɔ tó
Est-ce que tu me comprends ?,A ɖɔ xo ce se we a ?
Il n'y a plus de tranquillité dans le pays.,Ayijayì sɔ́ tíín ɖò tò ɔ́ mɛ̀ ă
Tu recevras beaucoup de biens.,A ná mɔ̀ ɖagbe gegé yí
glaner des épis,cyán nùkún
Elle n'aurait pas dû connaître ce genre de chose.,E ɖo na ɔ tuwun nu mɔ ɖɔhun ă
Il est très gros.,É kló vuù
Il a soufflé après avoir mangé du piment très fort.,E hínhán takín
Il a ordonné que tu ne viennes pas,E ɖɔ a ma wa o
déteindre,jŏ - sún
Nous avons beaucoup de temps,Gan mε gege kpo nu mi.
Vendre ou acheter.,Sa alo xɔ nu
"Moi, je ne voulais pas.",Nyɛ ɔ́ un ɖó jlŏ tɔ̀n ă
La maladie est terminée.,Azɔn vɔ
Il lui demanda de qui il parlait en mal.,É kán by’ɛ́ ɖɔ̀ mɛ nu ɖɔ́ wɛ́ é ɖé á jí
Il arrive.,E ja
Il se dirigea vers Ouidah.,É jlɔ́ dó Glexwé
"Pour être heureux, cherche à bâtir ta vie sur la parole de Dieu.","Bó ná dó mɔ̀ nyɔná ɔ́, nɔ ba ná tò gbɛ towe sɔ́ nyì xó Mawu tɔn jí"
Notre hôtel est en banlieue ,Gbedutin mitɔn ɖo nu gle.
La blanchisseuse lave les draps,Nu nyatɔ ɔ ɖo zanjivɔ lε nya wε.
Nous y sommes allés il y a trois ans.,Mi yi ɖe ɔ xwe atɔn die
Il ne peut rien faire contre toi (même pas prendre l’écorce).,E sìxú xò fló go ɖò wŭ wè ă
Il a fait semblant de ne pas me voir.,E bló mɛ ma mɔ mi ɖɔhùn bo dín
J'apprends des mots petit à petit.,Un nɔ kplɔn xo ɖokpoɖokpo
Regarde-nous.,Kpɔn mi
Il a renversé la jarre complètement.,É flí zɛ̀n ɔ́ xwè
Il est devenu son ennemi.,E dó kɛn ɛ̀
faire la vaisselle,klɔ́ agbăn
Il a violé notre pacte d’amitié.,É d’alɛ̀ wŭ cè
Il achète de la viande,E ɖo lan xɔ wε
Est-ce que Kofi n'est pas parti ?,Kofi yi a wɛ a ?
Elle est partie s’installer dans sa maison maternelle.,É yí jɛ̀ agban dó nylɔfin
Surveille tes paroles,Ma nu xo towe gba gbe o
Je suis venu pour prendre mon livre,Wema ce yi gbe un ja
Je n’ai pas besoin de visiteurs.,Un jɛ mɛ wá mɛ gɔ́n dó ɖe ă
Cet enfant ronfle.,Vì élɔ́ ɖo xwa lun wɛ̀
Il travaille à la tâche.,Azɔ̀ kínkán wὲ e nɔ wà
Qu'est-ce que c'est que tout ce bruit ? ,Nu tε nyi zingidi tobutobu enε ɔ ?
Est-ce la lettre que tu m'as écrite ?,Wema ɖee a wlan nu mi ɔ nɛ a ?
La maladie empire-t-elle ? ,Azɔn ɔ ɖo syεnsyεn wε à ?
Cela va s’arranger.,E ná gbɔ̀
"Pierre et moi, nous sommes en ville.","Nyi kpo Pierre kpo, mi ɖo toxomɛ"
Donne-lui le livre qu’ils m’ont laissé.,N’ɛ wema ye ze nu mi ɔ
C’est un cadeau de ton destin (un autre n’aurait pas pu le faire).,Sɛ́ wɛ́ ná
Je resterai éveillé la moitié de la nuit.,Un na nà wunzèn zànvli
Assieds-toi à table.,Jinjɔ́n távo kɔ̀n
Ta maison est calme.,Xwé tówé xwɛ̀
J’ai réchappé à un accident.,Un gán ɖ’awòvínú mɛ­̀
Il a des cicatrices de variole.,Axɔ́sú’kpá ɖò nukún tɔ́n mɛ̀
Gloire à Dieu.,Jɛlí jɛlí nú Măwŭ
Tu dois monter sur le grand rocher,A na xa so ɖaxo ɔ ji.
Combien êtes-vous à la maison ?,Mi mε nabi wε ɖo xwe mitɔn gbe ?
Il ne t'arrivera rien,Etε na wa we à.
nom propre de fille,ayabá - ayabáví
L’écolier découpe son dessin.,Azɔmɛvi ɔ ɖo nuɖiɖe tɔn sɛn wɛ
Prie pour affermir ta foi.,Xa yɛhwe dó ná syɛ́nsyɛ́n nùɖíɖí tówé ná
Tu es mon aîné,Mεxo ce wε a nyi.
être important,ɖò ta jí
être malaisé,vɛ̆ wŭ
Les draps lavés sèchent sur l’herbe.,Zanjivɔ nyinya ɖo xuxu wɛ ɖo zunkan ɔ ji
petit oiseau,kεlεbɔ̀ - títígwetí - xɛví
J’ose dire…,Un gb’ádɔ̀ bó ɖɔ̀...
Après déjeûner,Zanzan nuɖuɖu gudo
Mon père a construit une case ronde dans son champ.,Daá gbá amlixɔ tobotobo ɖokpó dó gle tɔn ta
Il fait l’enquête minutieusement.,É nɔ́ bà do nú nù xwítíxwítí dín
sans obstacle,ɖó fífà jí
Il s’est bien apprêté.,É sɔ́ nù bó ɖò páwún
Viens t'asseoir près de moi.,Wa jínjɔ́n akpá cè
Tous attendaient un roi terrestre.,Mɛ̆ bì wɛ́ ɖò te kpɔ́n axɔ́sú gbɛ mɛ fí tɔ́n ɖé
Il est gâté excessivement.,É gbɛ́ hɛ̀n
Ne te gêne pas.,Má xò kàn ó
Jean-Baptiste criait dans le désert,Jan Batistu nɔ su xo ɖo gbexo mɛ
Il a une angine.,É jɛ̀ vɛ̀súvɛ́sú
Jean est content.,E vivi nu Jan
"Point de petit chef, un chef est un chef.",Gan ɖe nyi kpɛvi a
Il est allé dans la savane.,É yí fánjí
Combien d’heures mettras-tu pour finir le travail ?,Ganxixo nabí a na dó fó azɔ̀ ɔ́ ná ?
quoi donc ?,ani ò ?
Il s’est mis en colère contre son enfant.,É bɛ́ adăn dó vì tɔ́n jí
négation,ma - ma... ó - mɔ
"Si ce n'est pas Zinsu, c'est donc Sagbo.","E ma nyi Zinsu ă, hun Sagbo wɛ"
C'est le moment (le temps a grandi).,Hwenu su
Donne-moi la monnaie.,Nă mì kpukpo tɔ̀n
Fais-moi le résumé de l’affaire.,Ɖɔ̀ xó ɔ́ kówún tɔ́n nú mì
Ce n’est pas grave,E vε wu a
Tu salues ton maître.,A ɖo gbe do nu mɛsi towe wɛ
Dieu a créé le ciel et la terre.,Mawu blo jixwe kpodo ayikungban kpo
Il semble que tu ne me reconnais plus.,É cí ɖì a kún sɔ́ túwún mí ó
canard,kpákpá - kpákpá xὲ
Combien as-tu d'enfants ?,Vĭ nabí ɖ'así tówè ?
On aura deux heures de repos.,Mi na ɖo gan xixo we nu gbɔjɛ
Voilà venue la pluie,Ji wa nε
Lits (deux),Akanma we
Un homme eut dix enfants.,Nya ɖé jì vĭ wŏ
Il bruine.,Jĭ ɖè atán
C’est lui seul que j’ai vu là.,É ɖokpó jɛ́n un mɔ ɖò fínɛ́
Je suis doux et humble de cœur.,"Mɛ fífá wɛ̀ un nyí, bó nyí xomɛfátɔ́"
Il s'est rué sur l'argent.,E wlá kwɛ́
Ces enfants-là.,Vi nɛ lɛ
Les miroirs sont des glaces qui ne fondent pas,Nukpεn lε ɔ glasi ɖee mɔ nɔ yɔ a lε wε.
Je vais acheter des bananes ,Un jlo na xɔ kokwe.
Rien n'est plus pareil ,Nu ti nɔ nyi kpe a.
Reste ici.,Cí fí
Cet homme est un vrai.,"Nya élɔ́, fɔnnù titewungbe wɛ̀"
Ce ne sera pas long (durée).,E na lin ă
Il a été libéré hier.,É jɛ te sɔ̀
Mr Huston ne veut pas que ses élèves viennent en classe avec un baladeur ,Huston ba nu azɔmεvi tɔn lε ni wa xomε kpodo baladeur kpo a.
Il est une heure trente.,Gan ɖokpo adaɖe wɛ
Est-ce que tu obéis à la maison ?,A nɔ sè tónú ɖò xwégbé à ?
Ne dis donc pas de bêtises !,Hun bo ma ɖɔ fanfun o
Couleurs de toutes sortes.,Sinmɛ alɔkpalɔkpà
Ton vêtement est de qualité.,Awu towe ɔ ɖagbe wɛ
Ils se mettent d'accord,Ye ɖo gbe kpɔ
Félicitations !,Kudido wε !
Comme il te plaira.,Lĕe a jló gbɔ́n lé
Comme un enragé.,Mɛ jɛ mà ɖɔ́hùn
Il a mis la chambre en désordre.,E gídí xɔ ɔ́ mɛ̀
Jusqu'au bout.,Káká yì fúfónu
Goutte à goutte,Tówún tówún
Je continue mon chemin.,Un na lɛ jɛ ji ali ce
Délivre-nous du pouvoir du démon.,Hwlɛ́n mì ɖó awòví sí
Beaucoup prennent ce chemin.,Mɛ gegé nɔ́ wlí ali énɛ́ ɔ́
Il s'est racheté.,E xɔ̀ éɖéé
Elle s'y brûle.,E ji mɛ myɔ
Et comment a réagi Pierre quand Dossé l’a exaucé ?,Ani wɛ̀ Piɛ wà hwenu è Dose yí gbe nú ɖɛ tɔn é ?
Ce tambour résonne bien.,Hùn élɔ́ nɔ́ ɖi gbè ganjí
Elles s'aiment bien,Ye yi wan nu yeɖe tawun.
Depuis combien de temps es-tu arrivé ?,Sín hwetɛ́nu a wă ?
Le boeuf est plus gros que le mouton.,Nyìbú kló hú lɛngbɔ́
L’affaire m’est devenue embrouillée.,Xó ɔ́ gɔ́ndɔ́n dó mì
"Nous sommes ici à nous démener, à nous donner de la peine.",Mĭ ɖò fí bó ɖò kotokítí ɔ́ ɖú wɛ̀
Il y a beaucoup de rosée.,Amu sú
"Peu à peu, l’akassa est cuit (Petit à petit, l’oiseau fait son nid).",Dɛ̆dɛ̆ gì nɔ́ bí
Elle est en train de lui donner un baiser.,E ɖò sì kí n'í wɛ̀
Il est en mer depuis plus de six semaines,E ɖo xu ji sin vodungbegblamε ayizεn ɖie.
La jument et le poulain courent dans le champ ,Sɔ asi ɔ kpodo sɔ vi ɔ kpo ɖo wezunkan wε ɖo gle ɔ mε.
L’eau est claire.,Sin ɔ we
Je vais au travail.,Un xwe azomɛ
Il s'est démené pour moi.,E xo kan cè
Il tombe de la grêle.,Kɛ́njí ɖò jija wɛ̀
"J'aime les livres, même si je ne les lis pas","Un yi wan nu wemaxixa lε, nu un ma te xa o."
C’est quelque chose.,É má nyí nùɖé ă
Je m'appuie sur lui.,Un gán dó wùtú tɔ̀n
tirer sur quelque chose et le manquer,fέ gblă
s'enflammer,fɔ́n adăn
viril (s'applique aux garçons),glŏjà - jaglo
C'est incomplet.,E kpò
tel quel,ayì blùblúnɔ̀ - cεncεɛ̀n - kpabaà
Mon grand-père était un vieillard,Daagbo ce ɔ mεkpikpo wε.
Il est à l’église.,É ɖò yɛhwexɔ mɛ̀
lire une lettre,xà wĕmà
"Redoutables, ils ne se battaient que la nuit, se dissimulant dans la journée .","Kintɔ enε ɔ lε ɔ glegbenu ɖaxo wε nyi ye, zan mε jε ye nɔ fun ahwan, keze ɔ e nɔ ba ye kpo"
Qu'on se lave vite et qu'on parte pour la réunion.,Mi nu mi lɛ wu blewun bo na yi kple
J'ai confiance en toi.,Un gàn jɛ̀ wŭ wè
"Fina, pourrais-tu me dire d'où tu viens ?","Fina, a sii ɖɔ fi e a gosin ɔ nu mi a ?"
Comment vas-tu ?,Nɛ a fɔn gbɔn ?
Le boulanger pétrit la pâte,Wɔxuxuɖatɔ ɔ ɖo linfin nya wε.
Leur chambre est minuscule,Xɔ yetɔn ɔ hwe
C’est le grand marché de Cotonou,Axi ɖaxo ɖe wɛ e nyi ɖo Kutɔnu
tout seul,ɖóɖó - ɖokpó - kɔ́kɔ́ɖɔ́kɔ́
Il a cloué la caisse.,E ká gba ɔ́
faire l’important,glă awà - tέ afɔ̀ ayĭ - jìjé
faire griller les brochettes,mὲ cacawungá
Jean fait sa copie ,Jan ɖo 'copie' tɔn blo wε.
gaspiller de l'essence,fyɔ́ sábsì
Ne soyez pas inquiets.,Ado ma hu mì ó́
Tu as fait briller la vie pour l’éternité.,A zɔ́n bɔ̀ gbɛ ɔ́ nɔ́ kɔ́n hwesivɔ́ ɖɔ́hún nú tegbɛ gbè
Tout individu a droit à une nationalité.,Gbɛtɔ bi ɖo acɛ bo na nyi toɖè sin vi
Tu es un malpropre.,Adungbónɔ́ wɛ́ nú wè
être sans souci,ayì jὲ dò
Tu es au bord de quoi ?,Nu tε to a ɖe ?
Tu dois payer sa dette,A ɖo na su axɔ.
Je mangeais.,Un ɖo nǔ ɖu wɛ ɖányi
L'herbe est grande.,Gbè ɔ́ sù
payer l'impôt,sú takwέ
A mon côté,Đo akpa ce
"Chaque soir, Noah savait qu'il était guetté","Gbadanu tεgbε ɔ, Noah tuun ɖɔ e nɔ cε emi"
Tu dois faire comme on te dit.,A ɖo na blo ɖi dε mi ɖo ɖiɖɔ nu wε o
Voici mon homonyme.,Nyìkán cé ɖíè
Je lui demande son aide.,Un ɖo alɔ gɔ tɔn bi e wɛ
Il n'est pas venu.,E wá ă
Tu vas trop vite ! ,A no ɖo wezun din !.
bâton armé de fer pour la chasse,adovwé - bàkpé
Il a lancé le livre sur la table.,E sɔ́ wèmá ɔ́ nyí dó távo jí
J'ai dû rester deux jours au lit à cause d'un mauvais rhume.,Un gbɔ ɔ nɔ zan ji nu azan we ɖo lεnkpɔn ɖe wutu
traîner par terre,dɔ̀n d’έ - dɔ̀n gbɔ̀n kɔ́ mὲ - sà d’ayĭ - sà dŏ ayĭ - sà gbɔ̀n kɔ́ mὲ - sὲ gbɔ̀n kɔ́ mὲ
Il est persévérant.,É nɔ́ ɖó kan dó nù wú
La maison est près de la rivière.,Xwé ɔ́ ɖò tɔ'kpá
Il est passé par moi.,É gbɔ̀n jĭ cè
"Si tu as peur, tu es tout troublé, tu perds la tête",Enyi xɛsi ɖi we ɔ ayi towe bi gba do
Vos casseroles brillent,Gannu mitɔn lε nɔ kɔn.
Je suis venu il y a trois jours.,Un wá azăn'tɔn ɖiè
Il danse.,E ɖo we ɖu wɛ
La bouteille a éclaté avec fracas.,Go ɔ wú gbawùn
Laisse tomber.,Sɔ́ sá wŭ
"Il fait froid, et tu restes ainsi sans habit.","Jɔhɔn gbɛ́, b’á kpò ɖò goklé mɔ̆ à"
Elle vanne du maïs.,E ɖò gbadé fún wɛ̀
"Si mon balai ne balaie pas devant ta porte, il n'y poussera que des herbes folles.","Akiza ce ma za hɔn towe to a ɔ, gbe jɛn na wu. "
Je me promène au bord de la mer.,Un ɖo saɖi wɛ ɖo xu to
La branche brisée pend ,Ala fifεn nɔ jlo na j'ayi.
sang,hùn - hunsìn - kanjɔ̀ - sìn
Il perd de l’huile (moteur).,É nɔ́ ví amì
Je me suis blessé au pied.,Un gblé wǔ d’áfɔ̀
Comme il s’enfuyait…,Ée é ɖò hinhɔn yi nukɔn wɛ ɔ́…
C’est un homme de confiance.,É nyí gbɛtɔ́ ɖ’èjì d’éwú
Je prendrai du thé ,Un na nu tii.
se fracturer un os,lɔ̀ gŏ
C'est incroyable.,E sìxú ɖì ă
franchise,nùgbóɖíɖɔ́ - xomɛɖiɖɔ
Il aimait faire du surf.,E yi wan nu to ji gbigbɔn
frapper dans ses mains pour appeler,xò àsí - xò alɔ̀ kpɛ́ - xò así kpέ - xò kpɛ́
Voici kofi.,Kofi ɖie
Il a un mauvais comportement.,E nylá jujɔ
Les enfants retirent leur casquette quand ils parlent à leur maître.,Vi lε nɔ ɖe gbakun yetɔn lε nu ye ɖo xo ɖɔ nu mεsi yetɔn wε ɔ
Regarde-moi ça (expression méprisante en parlant d’une personne).,Kpɔ́n nù élɔ́
Il a enfourché le vélo.,É vl’ásá dó kɛkɛ́
Je suis en retard.,Ayì hɔ́n dó mì
Le maïs a augmenté au marché.,Akwέ jὲ gbadé jí ɖ’aximὲ
Il a trop à faire,E ko blo din.
Il a traversé la chambre.,E dlá xɔ̀ ɔ
Tu me plais.,Nù tówé nyɔ́ nukún cé mɛ̀
Sous beaucoup de rapports.,Gbɔ̀n nŭ gègé'linu
Ne vois-tu pas ces mouches qui par centaines me piquent à tout instant ?,A mɔ sukpɔ tobutobu de ɖo xixa do mi wɛ ɔ à ye ?
Je vais te poser une question.,Un na kan nu ɖokpo byɔ we
On n'emporte rien d'une famille dans l'autre.,E nɔ hɛ̀n nù ɖĕbŭ yì mɛ ɖĕvo hɛ̀nnú mɛ̀ ă
Avec toi.,Kpodo hwɛ kpo
Salut (merci) pour hier,Ku sɔ
Il ne m’a pas reconnu.,E dán mì
Le chef de village est grand.,Daa ɔ mɔ lanmɛ
Vous avez entendu ce qu’on a dit.,Mi se ɖɔ̀ e ɖɔ jí
Il s'est absenté de la maison.,E tɔ́n
Le ciel s’est couvert de nuages.,Jĭ wŭ
Il est de rapport très agréable.,E nɔ́ dɔn mɛ dín
Je m'attends à ce qu'il vienne.,Un ɖi ɖɔ̀ é ná wá
Eau bouillie,"Sinhunagbăn, sinhwangbăn"
